id;name;base_url;list_url;list_item_selector;link_attr;title_selector;content_selector;thumbnail_selector;author_selector;is_active;note
1;screw far-flung for;why;oof between;fiddle;knowledgeably retention coaxingly;pulverize ugh;remark because;positively;a after;true;skeletal yowza ugh
2;accidentally team;if impossible;bony;hospitable alert digestive;brr spherical greedily;whose readily throughout;official neglected suffice;prudent aboard plugin;boastfully discontinue;false;tarry orient where
3;aircraft off;afore ew;gadzooks majestically yahoo;gah;jovially papa proud;why worth ick;posh reference;hungrily;restfully;false;while smoke
4;tremendously scaly stained;about;shaft;aw mmm;pull verbally;ick though;er doorpost where;courtroom;cricket aha;true;quaintly outnumber
5;geez acquaintance interestingly;pendant;quintessential loosely;ugh procurement;commandeer;plus than;for gratefully;schematise premier confound;mortise meanwhile huge;false;ugly puritan gosh
6;excepting beyond once;gloom how tenement;oh lest pupil;before apropos;ah through;conceptualize extremely;yippee although;form aha;miserably yippee;false;young shimmering
7;scrap birdbath;rapidly truthfully;instead privilege;oh;eek;puny;upsell;boldly pendant;pish;false;yet astride
8;but however;silently;accidentally aboard scented;oh;grown;frenetically entice;buttery above tune;uncomfortable;yum;true;of
9;punctually what as;only;er icebreaker;around really bowed;asset inside phooey;surprised;prohibition;brightly entice;loudly bind equal;false;yet plus brace
10;apprehensive;justly;ew vainly;both until;urgently suddenly;concerned ah;neighboring round task;outrageous usable;unless dismal;true;as nor leading
